Dept. of Genetic, University of Cambridge, UK	52.202124	0.121897
University of Cincinnati Medical Center, Cincinnati, Ohio, USA.	39.138704	-84.504875
Departments of Medicine and Physiology, College of Medicine, Sultan Qaboos University, Oman.	null	null
Department of Pediatrics, Madinah Maternity and Children Hospital, and Family Medicine Program, Ministry of Health, Madinah, Saudi Arabia.	24.460899	39.620190
Department of Molecular Pharmacology & Therapeutics, EpiGenesis Pharmaceuticals, Inc., 3100 Tower Blvd., Suite 500, Durham, NC 27707, USA.	35.971846	-78.959310
Servicio de Microbiología, Hospital Universitario 12 de Octubre, Madrid, España.	40.416775	-3.703790
Médico Pediatra Intensivista do Hosp. São Lucas-PUCRS, UFRGS.	null	null
Instituto da Criança do Hospital de Clínicas, Faculdade de Medicina da Universidade de São Paulo.	-23.548943	-46.638818
New York University School of Medicine, New York, NY.	40.742092	-73.974248
St. Francis Memorial Hospital, San Francisco, CA.	37.789632	-122.417004
First Affiliated Hospital of Shanxi Medical University, Taiyuan 030001.	37.855133	112.560801
Department of Medicine, Faculty of Medicine, Ramathibodi Hospital, Mahidol University, Bangkok, Thailand.	13.695097	100.647791
Department of Family Medicine and Community Health, Tufts University School of Medicine, Boston, MA 02111, USA.	42.350035	-71.062207
Department of Cardiothoracic Surgery, First Hospital, Beijing Medical University.	null	null
Department of Biochemistry, National Defense Medical Center, Taipei, Taiwan, Republic of China.	null	null
Department of Respiratory Diseases, Daping Hospital, Third Military Medical University, Chongqing.	29.563010	106.551557
Nanjing College of Traditional Chinese Medicine.	31.186635	121.449501
First Hospital, West China University of Medical Sciences, Chengdu.	30.572269	104.066541
Respiratory Department, General Hospital of PLA Shenyang.	41.805698	123.431475
Guangzhou Institute of Respiratory Disease.	23.129163	113.264435
Xijing Hospital Fourth Military Medical University, Xi'an.	34.341568	108.940175
Department of Respiratory Medicine, Xijing Hospital, Xian.	34.341568	108.940175
Department of Respiratory Medicine, Hospital of Shandong Medical University, Jinan.	36.650997	117.120497
Department of General Practice, Erasmus University and Academic Hospital Rotterdam, The Netherlands.	51.924216	4.481776
Asthma and Allergy Centre, Sahlgrenska University Hospital, Göteborg, Sweden.	57.682996	11.960416
Ist. di Igiene e Medicina Preventiva, Università di Genova.	44.435948	8.756531
Section of Respiratory Rehabilitation, Fondazione Pro-Juventute Don Carlo Gnocchi, Pozzolatico, Florence, Italy.	43.724609	11.244941
Servizio di Pronto Soccorso ed Accettazione Medica, Ospedale di Rho, MI.	44.314844	-85.602364
Institutul de Pneumoftiziologie Marius Nasta, Bucureşti.	44.405830	26.090375
Wellington Asthma Research Group, Wellington School of Medicine, New Zealand.	-41.286460	174.776236
Cattedra di Medicina Interna II, Istituto di Medicina Interna e Geriatria, Universita' di Palermo, Italy.	38.115688	13.361267
Department of Pulmonary Diseases, University Hospital Utrecht, The Netherlands.	52.091790	5.114570
Department of Clinical Biochemistry, The Queen's University of Belfast, UK.	54.553754	-5.966667
Department of Child Health, Kings College School of Medicine, London, UK.	51.498112	-0.178318
University of Southampton, Southampton General Hospital, UK.	50.933822	-1.433757
University of Odense, Denmark.	55.368393	10.427685
Escola de Farmácia e Odontologia de Alfenas (EFOA), Brazil.	-21.421183	-45.947920
Clinica Pediatrie III, C.M.S.S.C., Cluj-Napoca.	46.766437	23.579348
Department of Surgery, College of Medicine King Saud University, Abha, Saudi Arabia.	18.223333	42.507222
Katedra válecného vnitrního lékarství VLA-JEP, Hradec Králové.	50.210361	15.825211
IV Katedry i Kliniki Chorób Wewnetrznych, Slaskiej Akademii Medycznej, Tychach.	50.121801	19.020002
Laboratório de Epidemiologia e Estatística do Instituto Dante Pazzanese de Cardiologia, São Paulo, Brasil.	-23.548943	-46.638818
Department of Medicine, Institute of Postgraduate Medicine & Research, Dhaka.	23.709921	90.407143
Institute of Pediatries, Obstetrics and Gynecology, Academy of Medical Sciences of Ukraine, Kyiv.	50.450100	30.523400
Department of Respiratory Medicine, Belfast City Hospital, Northern Ireland.	54.588700	-5.939950
Albright & Wilson UK Limited, Warley, West Midlands, UK.	52.471067	-1.996680
Clinica di Medicina del Lavoro, Università degli Studi di Milano.	45.465932	9.202640
Department of Microbiology and Immunology, Ponce School of Medicine, Puerto Rico 00732.	18.010000	-66.610000
Department of Pediatrics, School of Medical Sciences, Universiti Sains Malaysia, Kelantan.	5.115146	101.889172
Hospital Costa del Sol, Marbella Málaga.	36.508051	-4.827125
Cattedra di Clinica Pediatrica VI, Università degli Studi di Roma La Sapienza.	41.902668	12.517011
Respiratory Disease Research Unit, Kenya Medical Research Institute, Nairobi, Kenya.	-1.292066	36.821946
Academisch Ziekenhuis Rotterdam-Dijkzigt, afd. Klinische Genetica, Rotterdam.	51.924216	4.481776
Service des Maladies Respiratoires, Hôpital Arnaud de Villeneuve, Montpellier.	43.610769	3.876716
Unités INSERM n(o) 416, Institut Pasteur de Lille.	50.629250	3.057256
GSF National Research Center for Environment and Health, Oberschleissheim, Germany.	48.252246	11.559062
Department of Public Health Sciences, St George's Hospital Medical School, London, United Kingdom.	51.511214	-0.119824
DISM, Facoltà di Medicina e Chirurgia, Università di Genova, Italy.	44.405650	8.946256
Respiratory Health Network of Centres of Excellence, University of British Columbia Pulmonary Research Laboratory, St. Paul's Hospital, Vancouver, Canada.	49.280267	-123.127866
Departament de Medicina, Hospital Clínic, Universitat de Barcelona, Spain.	41.385064	2.173404
Afd. Kinderlongziekten, Academisch Ziekenhuis, Beatrix Kinderkliniek, Groningen.	53.219384	6.566502
Department of Immunobiology, DNAX Research Institute of Molecular and Cellular Biology, Palo Alto, CA 94304, USA.	37.381344	-122.180281
Istituto di Pediatria, Università degli Studi, Palermo.	38.105276	13.349367
Serviço de Medicina III, Hospital de Santa Maria, Faculdade de Medicina de Lisboa.	38.725299	-9.150036
